algorithm,instance,dimension,iterations,seed,init,chains,threads,parallel,best_length,final_length,elapsed_ms,accepted_moves,improved_moves,tier,cuda_mode,cuda_block_size,cuda_candidates_per_iter,status,log_file,error
sa-cuda-chain,ch130,130,500000,1,nn,64,128,cuda,6233,6233,542.618,3626647,1801700,L1,chain,128,128,ok,results\logs\large_cuda\ch130_chain_20260622_041026_139309.log,
sa-cuda-chain,ch130,130,500000,2,nn,64,128,cuda,6219,6219,525.347,3627046,1801371,L1,chain,128,128,ok,results\logs\large_cuda\ch130_chain_20260622_041026_139309.log,
sa-cuda-chain,ch130,130,500000,3,nn,64,128,cuda,6176,6176,530.781,3628129,1801633,L1,chain,128,128,ok,results\logs\large_cuda\ch130_chain_20260622_041026_139309.log,
sa-cuda-candidate,ch130,130,500000,1,nn,64,128,cuda,6110,6110,1369.193,10169676,4460170,L1,candidate,128,128,ok,results\logs\large_cuda\ch130_candidate_20260622_041027_878037.log,
sa-cuda-candidate,ch130,130,500000,2,nn,64,128,cuda,6110,6110,1371.822,10188214,4463427,L1,candidate,128,128,ok,results\logs\large_cuda\ch130_candidate_20260622_041027_878037.log,
sa-cuda-candidate,ch130,130,500000,3,nn,64,128,cuda,6110,6113,1370.788,10181848,4453958,L1,candidate,128,128,ok,results\logs\large_cuda\ch130_candidate_20260622_041027_878037.log,
sa-cuda-chain,a280,280,500000,1,nn,64,128,cuda,2762,2762,608.727,5936098,2934006,L1,chain,128,128,ok,results\logs\large_cuda\a280_chain_20260622_041032_100592.log,
sa-cuda-chain,a280,280,500000,2,nn,64,128,cuda,2741,2741,614.854,5937167,2934984,L1,chain,128,128,ok,results\logs\large_cuda\a280_chain_20260622_041032_100592.log,
sa-cuda-chain,a280,280,500000,3,nn,64,128,cuda,2759,2759,620.825,5938492,2934896,L1,chain,128,128,ok,results\logs\large_cuda\a280_chain_20260622_041032_100592.log,
sa-cuda-candidate,a280,280,500000,1,nn,64,128,cuda,2579,2579,1470.183,11529713,4985591,L1,candidate,128,128,ok,results\logs\large_cuda\a280_candidate_20260622_041034_065966.log,
sa-cuda-candidate,a280,280,500000,2,nn,64,128,cuda,2581,2581,1453.667,11528423,4985483,L1,candidate,128,128,ok,results\logs\large_cuda\a280_candidate_20260622_041034_065966.log,
sa-cuda-candidate,a280,280,500000,3,nn,64,128,cuda,2579,2579,1472.884,11531384,4980853,L1,candidate,128,128,ok,results\logs\large_cuda\a280_candidate_20260622_041034_065966.log,
sa-cuda-chain,lin318,318,500000,1,nn,64,128,cuda,44659,44659,548.983,889499,456537,L2,chain,128,128,ok,results\logs\large_cuda\lin318_chain_20260622_041038_579173.log,
sa-cuda-chain,lin318,318,500000,2,nn,64,128,cuda,44828,44828,548.926,892187,457670,L2,chain,128,128,ok,results\logs\large_cuda\lin318_chain_20260622_041038_579173.log,
sa-cuda-chain,lin318,318,500000,3,nn,64,128,cuda,44433,44433,546.074,891973,458179,L2,chain,128,128,ok,results\logs\large_cuda\lin318_chain_20260622_041038_579173.log,
sa-cuda-candidate,lin318,318,500000,1,nn,64,128,cuda,42312,42312,1430.763,5792560,2818581,L2,candidate,128,128,ok,results\logs\large_cuda\lin318_candidate_20260622_041040_341191.log,
sa-cuda-candidate,lin318,318,500000,2,nn,64,128,cuda,42217,42217,1440.345,5789172,2817266,L2,candidate,128,128,ok,results\logs\large_cuda\lin318_candidate_20260622_041040_341191.log,
sa-cuda-candidate,lin318,318,500000,3,nn,64,128,cuda,42312,42312,1442.848,5789067,2816848,L2,candidate,128,128,ok,results\logs\large_cuda\lin318_candidate_20260622_041040_341191.log,
sa-cuda-chain,rat575,575,500000,1,nn,64,128,cuda,8066,8066,700.114,4978085,2498776,L2,chain,128,128,ok,results\logs\large_cuda\rat575_chain_20260622_041044_774198.log,
sa-cuda-chain,rat575,575,500000,2,nn,64,128,cuda,8097,8097,696.571,4980062,2498620,L2,chain,128,128,ok,results\logs\large_cuda\rat575_chain_20260622_041044_774198.log,
sa-cuda-chain,rat575,575,500000,3,nn,64,128,cuda,8078,8078,697.311,4979396,2499937,L2,chain,128,128,ok,results\logs\large_cuda\rat575_chain_20260622_041044_774198.log,
sa-cuda-candidate,rat575,575,500000,1,nn,64,128,cuda,6924,6924,1577.010,10195240,4798030,L2,candidate,128,128,ok,results\logs\large_cuda\rat575_candidate_20260622_041046_978967.log,
sa-cuda-candidate,rat575,575,500000,2,nn,64,128,cuda,6956,6956,1750.278,10191875,4793647,L2,candidate,128,128,ok,results\logs\large_cuda\rat575_candidate_20260622_041046_978967.log,
sa-cuda-candidate,rat575,575,500000,3,nn,64,128,cuda,6932,6932,1747.168,10185418,4796308,L2,candidate,128,128,ok,results\logs\large_cuda\rat575_candidate_20260622_041046_978967.log,
