algorithm,instance,dimension,iterations,seed,init,chains,threads,parallel,best_length,final_length,elapsed_ms,accepted_moves,improved_moves,policy
qlsa-omp,eil76,76,1000000,301,nn,32,8,omp,545,545,490.731,9117721,4287288,epsilon-greedy
qlsa-omp,eil76,76,1000000,302,nn,32,8,omp,540,540,405.746,9112156,4285260,epsilon-greedy
qlsa-omp,eil76,76,1000000,303,nn,32,8,omp,544,544,360.251,9109450,4285041,epsilon-greedy
qlsa-omp,eil76,76,1000000,304,nn,32,8,omp,545,545,391.799,9103706,4285751,epsilon-greedy
qlsa-omp,eil76,76,1000000,305,nn,32,8,omp,540,540,346.214,9118510,4285323,epsilon-greedy
qlsa-omp,eil76,76,1000000,301,nn,32,8,omp,539,539,701.452,9135623,4282389,softmax
qlsa-omp,eil76,76,1000000,302,nn,32,8,omp,544,544,650.674,9134554,4291867,softmax
qlsa-omp,eil76,76,1000000,303,nn,32,8,omp,547,547,652.392,9136258,4285619,softmax
qlsa-omp,eil76,76,1000000,304,nn,32,8,omp,540,540,628.060,9136048,4282931,softmax
qlsa-omp,eil76,76,1000000,305,nn,32,8,omp,543,545,632.756,9142223,4285006,softmax
qlsa-omp,rat99,99,1000000,301,nn,32,8,omp,1220,1220,513.879,6881407,3295270,epsilon-greedy
qlsa-omp,rat99,99,1000000,302,nn,32,8,omp,1215,1215,450.165,6870384,3298828,epsilon-greedy
qlsa-omp,rat99,99,1000000,303,nn,32,8,omp,1214,1214,489.692,6867230,3297684,epsilon-greedy
qlsa-omp,rat99,99,1000000,304,nn,32,8,omp,1224,1224,486.821,6872582,3299230,epsilon-greedy
qlsa-omp,rat99,99,1000000,305,nn,32,8,omp,1213,1213,341.701,6871743,3298171,epsilon-greedy
qlsa-omp,rat99,99,1000000,301,nn,32,8,omp,1262,1268,658.903,6814993,3286213,softmax
qlsa-omp,rat99,99,1000000,302,nn,32,8,omp,1258,1261,684.452,6812035,3293542,softmax
qlsa-omp,rat99,99,1000000,303,nn,32,8,omp,1261,1261,654.497,6820350,3277048,softmax
qlsa-omp,rat99,99,1000000,304,nn,32,8,omp,1257,1257,683.404,6811642,3287684,softmax
qlsa-omp,rat99,99,1000000,305,nn,32,8,omp,1248,1248,652.323,6831888,3290101,softmax
qlsa-omp,eil101,101,1000000,301,nn,32,8,omp,631,631,443.627,9036045,4270251,epsilon-greedy
qlsa-omp,eil101,101,1000000,302,nn,32,8,omp,641,641,372.913,9043128,4268799,epsilon-greedy
qlsa-omp,eil101,101,1000000,303,nn,32,8,omp,643,643,362.383,9041091,4268634,epsilon-greedy
qlsa-omp,eil101,101,1000000,304,nn,32,8,omp,637,637,331.221,9035993,4270363,epsilon-greedy
qlsa-omp,eil101,101,1000000,305,nn,32,8,omp,635,635,332.442,9040133,4269972,epsilon-greedy
qlsa-omp,eil101,101,1000000,301,nn,32,8,omp,631,631,673.330,9028458,4269424,softmax
qlsa-omp,eil101,101,1000000,302,nn,32,8,omp,635,637,634.118,9045320,4268653,softmax
qlsa-omp,eil101,101,1000000,303,nn,32,8,omp,643,643,642.256,9047738,4262992,softmax
qlsa-omp,eil101,101,1000000,304,nn,32,8,omp,636,636,739.308,9030551,4268154,softmax
qlsa-omp,eil101,101,1000000,305,nn,32,8,omp,637,637,688.885,9040635,4265803,softmax
