instance,qlsa_variant,policy,diversity_threshold,diversity_metric,runs,algorithm,dimension,iterations,init,chains,threads,parallel,requested_backend,actual_backend,backend_fallback,iterations_completed,deadline_reached,actual_threads,bks,best_length_min,best_length_mean,gap_min,gap_mean,elapsed_ms_mean,elapsed_ms_std,accepted_moves_mean,improved_moves_mean
berlin52,current,epsilon-greedy,,,3,qlsa-omp,52,300000,nn,32,8,omp,,,,,,,7542,7542,7542.0000,0.0000,0.0000,150.7497,15.0146,981976.3333,452496.3333
berlin52,current,softmax,,,3,qlsa-omp,52,300000,nn,32,8,omp,,,,,,,7542,7542,7542.0000,0.0000,0.0000,270.1140,3.4112,939320.3333,455408.3333
berlin52,paper,epsilon-greedy,,,3,qlsa-paper-omp,52,300000,nn,32,8,omp,,,,,,,7542,7542,7599.3333,0.0000,0.7602,596.2483,15.2833,5525125.0000,156742.6667
berlin52,paper,softmax,,,3,qlsa-paper-omp,52,300000,nn,32,8,omp,,,,,,,7542,7542,7666.0000,0.0000,1.6441,706.2280,18.3387,5574583.6667,175572.3333
berlin52,paper-sb,epsilon-greedy,0.30,hamming,3,qlsa-paper-sb-omp,52,300000,nn,32,8,omp,,,,,,,7542,7715,7733.6667,2.2938,2.5413,590.6277,10.6827,5764425.6667,146798.3333
berlin52,paper-sb,epsilon-greedy,0.50,hamming,3,qlsa-paper-sb-omp,52,300000,nn,32,8,omp,,,,,,,7542,7715,7733.6667,2.2938,2.5413,586.3910,16.2415,5837916.6667,150403.3333
berlin52,paper-sb,epsilon-greedy,0.70,hamming,3,qlsa-paper-sb-omp,52,300000,nn,32,8,omp,,,,,,,7542,7715,7723.6667,2.2938,2.4087,554.0400,52.3476,5866133.3333,154692.6667
berlin52,paper-sb,softmax,0.30,hamming,3,qlsa-paper-sb-omp,52,300000,nn,32,8,omp,,,,,,,7542,7715,7735.0000,2.2938,2.5590,659.6803,17.7887,5366128.0000,150416.3333
berlin52,paper-sb,softmax,0.50,hamming,3,qlsa-paper-sb-omp,52,300000,nn,32,8,omp,,,,,,,7542,7715,7733.6667,2.2938,2.5413,650.3630,5.3981,5481797.6667,155237.0000
berlin52,paper-sb,softmax,0.70,hamming,3,qlsa-paper-sb-omp,52,300000,nn,32,8,omp,,,,,,,7542,7658,7704.6667,1.5381,2.1568,640.1083,7.4670,5550084.3333,157051.6667
eil101,current,epsilon-greedy,,,3,qlsa-omp,101,300000,nn,32,8,omp,,,,,,,629,649,650.6667,3.1797,3.4446,159.1353,12.1775,2719629.6667,1284615.6667
eil101,current,softmax,,,3,qlsa-omp,101,300000,nn,32,8,omp,,,,,,,629,647,650.3333,2.8617,3.3916,281.9220,8.7649,2718279.6667,1282283.6667
eil101,paper,epsilon-greedy,,,3,qlsa-paper-omp,101,300000,nn,32,8,omp,,,,,,,629,641,642.3333,1.9078,2.1198,724.0677,35.7480,6094451.6667,867391.3333
eil101,paper,softmax,,,3,qlsa-paper-omp,101,300000,nn,32,8,omp,,,,,,,629,637,639.0000,1.2719,1.5898,809.6290,29.5490,5971292.3333,912228.3333
eil101,paper-sb,epsilon-greedy,0.30,hamming,3,qlsa-paper-sb-omp,101,300000,nn,32,8,omp,,,,,,,629,641,641.6667,1.9078,2.0138,704.9167,33.6439,5884405.3333,806090.3333
eil101,paper-sb,epsilon-greedy,0.50,hamming,3,qlsa-paper-sb-omp,101,300000,nn,32,8,omp,,,,,,,629,634,637.3333,0.7949,1.3249,706.6697,26.2339,5981801.3333,737993.6667
eil101,paper-sb,epsilon-greedy,0.70,hamming,3,qlsa-paper-sb-omp,101,300000,nn,32,8,omp,,,,,,,629,639,639.3333,1.5898,1.6428,697.5663,17.9693,6044285.3333,703785.0000
eil101,paper-sb,softmax,0.30,hamming,3,qlsa-paper-sb-omp,101,300000,nn,32,8,omp,,,,,,,629,637,640.3333,1.2719,1.8018,966.5573,32.7762,5715317.3333,819458.3333
eil101,paper-sb,softmax,0.50,hamming,3,qlsa-paper-sb-omp,101,300000,nn,32,8,omp,,,,,,,629,632,635.0000,0.4769,0.9539,1130.8167,180.0969,5766551.6667,797059.0000
eil101,paper-sb,softmax,0.70,hamming,3,qlsa-paper-sb-omp,101,300000,nn,32,8,omp,,,,,,,629,637,638.6667,1.2719,1.5368,969.1433,47.4544,5845397.3333,825078.0000
eil76,current,epsilon-greedy,,,3,qlsa-omp,76,300000,nn,32,8,omp,,,,,,,538,548,549.6667,1.8587,2.1685,150.6347,12.6115,2738427.0000,1288687.0000
eil76,current,softmax,,,3,qlsa-omp,76,300000,nn,32,8,omp,,,,,,,538,550,550.6667,2.2305,2.3544,231.2800,5.8110,2749592.3333,1287750.6667
eil76,paper,epsilon-greedy,,,3,qlsa-paper-omp,76,300000,nn,32,8,omp,,,,,,,538,541,543.6667,0.5576,1.0533,556.0573,22.4791,6072087.6667,874419.6667
eil76,paper,softmax,,,3,qlsa-paper-omp,76,300000,nn,32,8,omp,,,,,,,538,538,543.6667,0.0000,1.0533,710.1547,31.0394,5949714.0000,935798.6667
eil76,paper-sb,epsilon-greedy,0.30,hamming,3,qlsa-paper-sb-omp,76,300000,nn,32,8,omp,,,,,,,538,543,545.0000,0.9294,1.3011,616.1887,25.3887,5972488.3333,812068.3333
eil76,paper-sb,epsilon-greedy,0.50,hamming,3,qlsa-paper-sb-omp,76,300000,nn,32,8,omp,,,,,,,538,546,547.0000,1.4870,1.6729,596.1690,19.5678,6030722.0000,752703.0000
eil76,paper-sb,epsilon-greedy,0.70,hamming,3,qlsa-paper-sb-omp,76,300000,nn,32,8,omp,,,,,,,538,538,541.0000,0.0000,0.5576,599.7247,25.9842,6081466.0000,696236.3333
eil76,paper-sb,softmax,0.30,hamming,3,qlsa-paper-sb-omp,76,300000,nn,32,8,omp,,,,,,,538,546,546.6667,1.4870,1.6109,773.5683,49.2418,5641193.6667,844813.3333
eil76,paper-sb,softmax,0.50,hamming,3,qlsa-paper-sb-omp,76,300000,nn,32,8,omp,,,,,,,538,543,544.3333,0.9294,1.1772,977.6763,171.2065,5641862.3333,780251.3333
eil76,paper-sb,softmax,0.70,hamming,3,qlsa-paper-sb-omp,76,300000,nn,32,8,omp,,,,,,,538,542,543.3333,0.7435,0.9913,861.8363,35.9489,5781959.6667,830361.3333
rat99,current,epsilon-greedy,,,3,qlsa-omp,99,300000,nn,32,8,omp,,,,,,,1211,1231,1238.3333,1.6515,2.2571,165.7040,12.4221,2069807.6667,994696.3333
rat99,current,softmax,,,3,qlsa-omp,99,300000,nn,32,8,omp,,,,,,,1211,1262,1272.0000,4.2114,5.0372,255.4583,4.4381,2045747.3333,984909.6667
rat99,paper,epsilon-greedy,,,3,qlsa-paper-omp,99,300000,nn,32,8,omp,,,,,,,1211,1241,1252.0000,2.4773,3.3856,661.2873,17.5960,5845606.3333,585296.6667
rat99,paper,softmax,,,3,qlsa-paper-omp,99,300000,nn,32,8,omp,,,,,,,1211,1236,1247.3333,2.0644,3.0003,777.5863,8.3698,5803873.6667,623591.6667
rat99,paper-sb,epsilon-greedy,0.30,hamming,3,qlsa-paper-sb-omp,99,300000,nn,32,8,omp,,,,,,,1211,1237,1250.0000,2.1470,3.2205,715.4627,19.6624,5700457.6667,526831.0000
rat99,paper-sb,epsilon-greedy,0.50,hamming,3,qlsa-paper-sb-omp,99,300000,nn,32,8,omp,,,,,,,1211,1244,1255.6667,2.7250,3.6884,693.1133,15.2603,5792035.3333,498935.0000
rat99,paper-sb,epsilon-greedy,0.70,hamming,3,qlsa-paper-sb-omp,99,300000,nn,32,8,omp,,,,,,,1211,1244,1254.3333,2.7250,3.5783,686.4470,18.3551,5864645.3333,515212.6667
rat99,paper-sb,softmax,0.30,hamming,3,qlsa-paper-sb-omp,99,300000,nn,32,8,omp,,,,,,,1211,1243,1250.6667,2.6424,3.2755,870.8383,15.8921,5514566.6667,539124.3333
rat99,paper-sb,softmax,0.50,hamming,3,qlsa-paper-sb-omp,99,300000,nn,32,8,omp,,,,,,,1211,1243,1250.6667,2.6424,3.2755,886.8850,81.4807,5561556.0000,524340.3333
rat99,paper-sb,softmax,0.70,hamming,3,qlsa-paper-sb-omp,99,300000,nn,32,8,omp,,,,,,,1211,1242,1249.6667,2.5599,3.1930,954.1993,48.2142,5597929.3333,534666.6667
